"ID","layer","x","y","weight","region"
1,NA,-1444230.69057906,1643604.87563206,0.899999979883432,"Basin"
1,NA,-1430906.8185088,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1417582.94643854,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1404259.07436828,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1390935.20229802,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1377611.33022776,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1364287.4581575,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1350963.58608724,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1337639.71401698,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1324315.84194672,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1310991.96987646,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1297668.0978062,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1284344.22573594,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1271020.35366568,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1257696.48159542,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1244372.60952516,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1231048.7374549,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1217724.86538464,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1204400.99331438,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1191077.12124412,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1177753.24917386,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1164429.3771036,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1151105.50503334,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1137781.63296308,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1124457.76089282,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1111133.88882256,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1097810.0167523,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1084486.14468204,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1071162.27261178,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1057838.40054152,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1044514.52847126,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1031190.656401,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1017866.78433074,1643604.87563206,0.999999977648258,"Basin"
1,NA,-1004542.91226048,1643604.87563206,0.999999977648258,"Basin"
1,NA,-991219.040190223,1643604.87563206,0.999999977648258,"Basin"
1,NA,-977895.168119963,1643604.87563206,0.999999977648258,"Basin"
1,NA,-964571.296049703,1643604.87563206,0.999999977648258,"Basin"
1,NA,-951247.423979443,1643604.87563206,0.999999977648258,"Basin"
1,NA,-937923.551909184,1643604.87563206,0.999999977648258,"Basin"
1,NA,-924599.679838924,1643604.87563206,0.999999977648258,"Basin"
1,NA,-911275.807768664,1643604.87563206,0.999999977648258,"Basin"
1,NA,-897951.935698404,1643604.87563206,0.999999977648258,"Basin"
1,NA,-884628.063628144,1643604.87563206,0.999999977648258,"Basin"
1,NA,-871304.191557884,1643604.87563206,0.999999977648258,"Basin"
1,NA,-857980.319487624,1643604.87563206,0.999999977648258,"Basin"
1,NA,-844656.447417364,1643604.87563206,0.999999977648258,"Basin"
1,NA,-831332.575347105,1643604.87563206,0.999999977648258,"Basin"
1,NA,-818008.703276845,1643604.87563206,0.999999977648258,"Basin"
1,NA,-804684.831206585,1643604.87563206,0.999999977648258,"Basin"
1,NA,-791360.959136325,1643604.87563206,0.999999977648258,"Basin"
1,NA,-778037.087066065,1643604.87563206,0.999999977648258,"Basin"
1,NA,-764713.214995805,1643604.87563206,0.999999977648258,"Basin"
1,NA,-751389.342925545,1643604.87563206,0.999999977648258,"Basin"
1,NA,-738065.470855286,1643604.87563206,0.999999977648258,"Basin"
1,NA,-724741.598785026,1643604.87563206,0.999999977648258,"Basin"
1,NA,-711417.726714766,1643604.87563206,0.999999977648258,"Basin"
1,NA,-698093.854644506,1643604.87563206,0.999999977648258,"Basin"
1,NA,-684769.982574246,1643604.87563206,0.999999977648258,"Basin"
1,NA,-671446.110503986,1643604.87563206,0.999999977648258,"Basin"
1,NA,-658122.238433726,1643604.87563206,0.999999977648258,"Basin"
1,NA,-644798.366363466,1643604.87563206,0.999999977648258,"Basin"
1,NA,-631474.494293207,1643604.87563206,0.0999999977648258,"Basin"
1,NA,-1444230.69057906,1630281.0035618,0.899999979883432,"Basin"
1,NA,-1430906.8185088,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1417582.94643854,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1404259.07436828,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1390935.20229802,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1377611.33022776,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1364287.4581575,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1350963.58608724,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1337639.71401698,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1324315.84194672,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1310991.96987646,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1297668.0978062,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1284344.22573594,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1271020.35366568,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1257696.48159542,1630281.0035618,0.999999977648258,"Basin"
1,NA,-1244372.60952516,1630281.0035618,0.999999977648258,"Basin"
